CountryKey,Country,ISO3,Region,IsLatAm,IsPeru,Economy,Governance,Infrastructure,Innovation,Talent,PillarCoverage,Score_Quality,AI_Readiness_Score_AllAvailable,AI_Readiness_Score_Comparable,Global_Rank_Comparable
43,Colombia,COL,Latin America & Caribbean,True,False,1.0,40.74213518536474,52.94187372453317,0.5174574753804834,18.848797250859104,5,Full coverage,22.810052727227497,22.810052727227497,95.0
44,Comoros,COM,Other Regions,False,False,,17.821394619699316,30.980252312540664,0.0,,3,Low coverage,16.267215644079993,,
45,Congo Republic,COG,Other Regions,False,False,,15.670130944416494,15.259728049970818,0.0,,3,Low coverage,10.309952998129104,,
46,Costa Rica,CRI,Latin America & Caribbean,True,False,,38.809303676089336,81.24911714558927,0.07520143240823635,40.20618556701031,4,Comparable partial,40.084951955274285,40.084951955274285,22.0
47,Cote D'Ivoire,CIV,Other Regions,False,False,,23.43327225613517,71.57338828437463,0.007162041181736795,56.18556701030928,4,Comparable partial,37.7998473980002,37.7998473980002,29.0
48,Croatia,HRV,Other Regions,False,False,16.0,30.63198096198182,45.46751340409345,1.2291853178155774,38.42611683848797,5,Full coverage,26.350959304475765,26.350959304475765,80.0
49,Cuba,CUB,Latin America & Caribbean,True,False,,42.75579704124535,46.797916285850434,0.11817367949865712,,3,Low coverage,29.890629002198143,,
51,Cyprus,CYP,Other Regions,False,False,,78.9548162350984,83.9337803531193,0.6195165622202328,70.61855670103093,4,Comparable partial,58.53166746286722,58.53166746286722,2.0
52,Czechia,CZE,Other Regions,False,False,4.0,52.932156534704795,53.878873420878016,2.8415398388540734,37.697594501718214,5,Full coverage,30.27003285923102,30.27003285923102,58.0
53,Denmark,DNK,Other Regions,False,False,9.0,67.55986798262101,58.13424627970289,4.246642793196061,51.714776632302396,5,Full coverage,38.13110673756448,38.13110673756448,28.0
54,Djibouti,DJI,Other Regions,False,False,,16.0895606162184,15.147527193786798,0.0,,3,Low coverage,10.412362603335067,,
55,Dominica,DMA,Other Regions,False,False,,31.54966203393951,24.987843504034423,,,2,Low coverage,28.268752768986964,,
