Country,ISO3,Economy,General,Governance,Infrastructure,Innovation,Talent,AI_Readiness_Score,Global_Rank,CountryKey,Region,IsLatAm,IsPeru
Czechia,CZE,4.0,9.183673469387756,52.9321565347048,53.878873420878016,2.8415398388540734,37.69759450171822,26.75563962759048,86,52,Other Regions,False,False
Iceland,ISL,8.0,8.16326530612245,43.29948682781525,66.10678826282772,2.0590868397493285,29.81443298969073,26.24051003770091,87,92,Other Regions,False,False
United Arab Emirates,ARE,13.0,15.306122448979592,56.08515491654127,59.87887611202189,6.2752909579230085,6.0,26.09090740591096,88,214,Other Regions,False,False
Hungary,HUN,5.0,8.16326530612245,48.57166370214138,52.46788457595476,1.4798567591763652,39.79037800687285,25.912174725044636,89,91,Other Regions,False,False
Senegal,SEN,,,29.144466898554743,48.34685686991229,0.0572963294538943,,25.84954003264031,90,175,Other Regions,False,False
Poland,POL,4.0,9.183673469387756,48.07388230944643,49.80137893569611,3.240376007162041,40.09278350515464,25.73201570447449,91,164,Other Regions,False,False
Egypt,EGY,2.0,6.122448979591836,44.48113469499019,50.98804062276388,2.290957923008057,47.02749140893471,25.48501227154811,92,59,Other Regions,False,False
Bolivia,BOL,,,19.88733646089202,58.77446430499175,0.0107430617726051,23.1958762886598,25.467105029079043,93,23,Latin America & Caribbean,True,False
Kyrgyzstan,KGZ,,,26.922859195524463,49.15469555063828,0.0071620411817367,25.773195876288657,25.46447816590829,94,110,Other Regions,False,False
Brazil,BRA,7.000000000000001,10.20408163265306,55.92478348722479,60.070258018200335,4.622649955237243,14.309278350515465,25.355175240638484,95,26,Latin America & Caribbean,True,False
Vietnam,VNM,2.0,5.1020408163265305,41.44793819347449,53.62269391057508,1.7211280214861235,47.70446735395189,25.26637804930235,96,224,Other Regions,False,False
Rwanda,RWA,2.0,4.081632653061225,42.14407609092165,41.33294389608891,0.0107430617726051,61.83505154639175,25.23407454137269,97,171,Other Regions,False,False
Lithuania,LTU,3.0,7.142857142857142,47.1488197319086,55.40288359959301,1.134288272157565,36.70790378006873,25.08945875443084,98,118,Other Regions,False,False
Uruguay,URY,2.0,6.122448979591836,51.4948365624633,52.57337477006995,0.0572963294538943,38.09278350515464,25.056790024455605,99,219,Latin America & Caribbean,True,False
Thailand,THA,2.0,7.142857142857142,46.20731876553417,57.67677100290055,1.445389435989257,35.707903780068726,25.030040021224973,100,202,Other Regions,False,False
Slovenia,SVN,5.0,9.183673469387756,58.322585252815166,52.482527781463446,2.7649955237242616,22.04123711340206,24.96583652346545,101,181,Other Regions,False,False
Bosnia And Herzegovina,BIH,,,42.79194462416135,31.46181606730479,0.1647269471799463,,24.80616254621536,102,24,Other Regions,False,False
Guinea,GIN,,,17.48229997344156,56.81949020735549,0.0,,24.76726339359902,103,85,Other Regions,False,False
Greece,GRC,7.000000000000001,7.142857142857142,36.13099279391393,55.6592942383341,3.6960608773500447,37.35395189003436,24.497192823748264,104,79,Other Regions,False,False
Bangladesh,BGD,0.0,3.061224489795918,44.54076205107396,49.72914676313948,1.3809310653536258,47.4020618556701,24.35235437083885,105,15,Other Regions,False,False
Mauritania,MRT,,,36.81819909535562,36.025025075403946,0.0,,24.281074723586524,106,129,Other Regions,False,False
