SourceKey,Source,Dataset,Source_File,Source_Type,Source_Year
75,Stanford AI Index,Stanford AI Index - Public Opinion,8. Public Opinion-2025_Data_fig_8.1.5.csv,csv,2025
76,Stanford AI Index,Stanford AI Index - Responsible AI,3. Responsible AI-2025_Data_fig_3.4.3.csv,csv,2025
77,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.17.csv,csv,2025
78,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2025_Data_fig_1.2.4.csv,csv,2025
79,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.22.csv,csv,2025
80,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2025_Data_fig_1.3.3.csv,csv,2025
81,Stanford AI Index,Stanford AI Index - Responsible AI,3. Responsible AI-2025_Data_fig_3.4.5.csv,csv,2025
82,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.15.csv,csv,2025
83,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.16.csv,csv,2025
84,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.3.11.csv,csv,2025
85,Stanford AI Index,Stanford AI Index - Public Opinion,8. Public Opinion-2024_Data_fig_9.1.4.csv,csv,2024
86,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2021_Publications_arXiv_Elsevier - 2021 AI Index Reprot.xlsx,xlsx,2021
87,Stanford AI Index,Stanford AI Index - Diversity,9. Diversity-2021_LinkedIn_LinkedIn - 2021 AI Index Report (Diversity in AI).xlsx,xlsx,2021
88,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2021_Publications_arXiv_arXiv - 2021 AI Index Report.xlsx,xlsx,2021
89,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.19.csv,csv,2025
90,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.21.csv,csv,2025
91,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.18.csv,csv,2024
92,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2021_Investment_NetBase Quid - 2021 AI Index Report.xlsx,xlsx,2021
93,Stanford AI Index,Stanford AI Index - Global AI Vibrancy Tool,11. Global AI Vibrancy Tool-2022_2022 AI Index Report Public Data - Global AI Vibrancy Tool.xlsx,xlsx,2022
94,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.1.csv,csv,2025
95,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2023_Data_fig_6.2.2.csv,csv,2023
96,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.3.17.csv,csv,2024
97,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.2.13.csv,csv,2023
98,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.3.19.csv,csv,2024
99,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.3.11.csv,csv,2024
100,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.3.11.csv,csv,2025
101,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2021_Jobs_LinkedIn_LinekdIn - 2021 AI Index Report.xlsx,xlsx,2021
102,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2023_Data_fig_4.2.21.csv,csv,2023
103,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.2.csv,csv,2025
104,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.2.1.csv,csv,2024
105,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.3.10.csv,csv,2025
106,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.2.7.csv,csv,2023
107,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.2.4.csv,csv,2023
108,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.2.5.csv,csv,2024
109,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.2.3.csv,csv,2024
110,Stanford AI Index,Stanford AI Index - Diversity,9. Diversity-2024_Data_fig_8.1.15.csv,csv,2024
111,Stanford AI Index,Stanford AI Index - Diversity,9. Diversity-2024_Data_fig_8.1.17.csv,csv,2024
112,Stanford AI Index,Stanford AI Index - Diversity,9. Diversity-2024_Data_fig_8.1.16.csv,csv,2024
113,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.4.2.csv,csv,2023
114,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.5.2.csv,csv,2024
115,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2023_Data_fig_1.4.3.csv,csv,2023
116,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.5.4.csv,csv,2024
117,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2024_Data_fig_4.5.5.csv,csv,2024
